Zip Code,City,Province,Country
501,HOLTSVILLE,New York,USA
544,HOLTSVILLE,New York,USA
601,ADJUNTAS,Puerto Rico,USA
602,AGUADA,Puerto Rico,USA
603,RAMEY,Puerto Rico,USA
603,AGUADILLA,Puerto Rico,USA
604,AGUADILLA,Puerto Rico,USA
604,RAMEY,Puerto Rico,USA
605,AGUADILLA,Puerto Rico,USA
606,MARICAO,Puerto Rico,USA
610,ANASCO,Puerto Rico,USA
611,ANGELES,Puerto Rico,USA
612,ARECIBO,Puerto Rico,USA
613,ARECIBO,Puerto Rico,USA
614,ARECIBO,Puerto Rico,USA
616,BAJADERO,Puerto Rico,USA
617,BARCELONETA,Puerto Rico,USA
622,BOQUERON,Puerto Rico,USA
623,CABO ROJO,Puerto Rico,USA
624,PENUELAS,Puerto Rico,USA
627,CAMUY,Puerto Rico,USA
631,ADJUNTAS,Puerto Rico,USA
631,CASTANER,Puerto Rico,USA
636,ROSARIO,Puerto Rico,USA
637,SABANA GRANDE,Puerto Rico,USA
638,CIALES,Puerto Rico,USA
641,UTUADO,Puerto Rico,USA
646,DORADO,Puerto Rico,USA
647,ENSENADA,Puerto Rico,USA
650,FLORIDA,Puerto Rico,USA
652,GARROCHALES,Puerto Rico,USA
653,GUANICA,Puerto Rico,USA
656,GUAYANILLA,Puerto Rico,USA
659,HATILLO,Puerto Rico,USA
660,HORMIGUEROS,Puerto Rico,USA
662,ISABELA,Puerto Rico,USA
664,JAYUYA,Puerto Rico,USA
667,LAJAS,Puerto Rico,USA
669,LARES,Puerto Rico,USA
670,LAS MARIAS,Puerto Rico,USA
674,MANATI,Puerto Rico,USA
676,MOCA,Puerto Rico,USA
677,RINCON,Puerto Rico,USA
678,QUEBRADILLAS,Puerto Rico,USA
680,MAYAGUEZ,Puerto Rico,USA
681,MAYAGUEZ,Puerto Rico,USA
682,MAYAGUEZ,Puerto Rico,USA
683,SAN GERMAN,Puerto Rico,USA
685,SAN SEBASTIAN,Puerto Rico,USA
687,MOROVIS,Puerto Rico,USA
688,SABANA HOYOS,Puerto Rico,USA
690,SAN ANTONIO,Puerto Rico,USA
692,VEGA ALTA,Puerto Rico,USA
693,VEGA BAJA,Puerto Rico,USA
694,VEGA BAJA,Puerto Rico,USA
698,YAUCO,Puerto Rico,USA
703,AGUAS BUENAS,Puerto Rico,USA
704,AGUIRRE,Puerto Rico,USA
705,AIBONITO,Puerto Rico,USA
707,MAUNABO,Puerto Rico,USA
714,ARROYO,Puerto Rico,USA
715,PONCE,Puerto Rico,USA
715,MERCEDITA,Puerto Rico,USA
716,PONCE,Puerto Rico,USA
716,MERCEDITA,Puerto Rico,USA
717,PONCE,Puerto Rico,USA
718,NAGUABO,Puerto Rico,USA
719,NARANJITO,Puerto Rico,USA
720,OROCOVIS,Puerto Rico,USA
721,PALMER,Puerto Rico,USA
721,RIO GRANDE,Puerto Rico,USA
723,PATILLAS,Puerto Rico,USA
725,CAGUAS,Puerto Rico,USA
726,CAGUAS,Puerto Rico,USA
727,CAGUAS,Puerto Rico,USA
728,PONCE,Puerto Rico,USA
729,CANOVANAS,Puerto Rico,USA
730,PONCE,Puerto Rico,USA
731,PONCE,Puerto Rico,USA
732,PONCE,Puerto Rico,USA
733,PONCE,Puerto Rico,USA
734,PONCE,Puerto Rico,USA
735,ROOSEVELT ROADS,Puerto Rico,USA
735,ROOSEVELT RDS,Puerto Rico,USA
735,CEIBA,Puerto Rico,USA
736,CAYEY,Puerto Rico,USA
737,CAYEY,Puerto Rico,USA
738,FAJARDO,Puerto Rico,USA
739,CIDRA,Puerto Rico,USA
740,PUERTO REAL,Puerto Rico,USA
741,PUNTA STGO,Puerto Rico,USA
741,PUNTA SANTIAGO,Puerto Rico,USA
742,CEIBA,Puerto Rico,USA
742,ROOSEVELT ROADS,Puerto Rico,USA
742,ROOSEVELT RDS,Puerto Rico,USA
744,RIO BLANCO,Puerto Rico,USA
745,RIO GRANDE,Puerto Rico,USA
751,SALINAS,Puerto Rico,USA
754,SAN LORENZO,Puerto Rico,USA
757,SANTA ISABEL,Puerto Rico,USA
765,VIEQUES,Puerto Rico,USA
766,VILLALBA,Puerto Rico,USA
767,YABUCOA,Puerto Rico,USA
769,COAMO,Puerto Rico,USA
771,LAS PIEDRAS,Puerto Rico,USA
772,LOIZA,Puerto Rico,USA
773,LUQUILLO,Puerto Rico,USA
775,CULEBRA,Puerto Rico,USA
777,JUNCOS,Puerto Rico,USA
778,GURABO,Puerto Rico,USA
780,COTO LAUREL,Puerto Rico,USA
780,PONCE,Puerto Rico,USA
782,COMERIO,Puerto Rico,USA
783,COROZAL,Puerto Rico,USA
784,GUAYAMA,Puerto Rico,USA
785,GUAYAMA,Puerto Rico,USA
786,LA PLATA,Puerto Rico,USA
791,HUMACAO,Puerto Rico,USA
792,HUMACAO,Puerto Rico,USA
794,BARRANQUITAS,Puerto Rico,USA
795,JUANA DIAZ,Puerto Rico,USA
801,CHARLOTTE AMALIE,Virgin Islands,USA
801,CHARLOTTE AMA,Virgin Islands,USA
801,ST THOMAS,Virgin Islands,USA
802,CHARLOTTE AMA,Virgin Islands,USA
802,CHARLOTTE AMALIE,Virgin Islands,USA
802,ST THOMAS,Virgin Islands,USA
803,CHARLOTTE AMA,Virgin Islands,USA
803,CHARLOTTE AMALIE,Virgin Islands,USA
803,ST THOMAS,Virgin Islands,USA
804,CHARLOTTE AMA,Virgin Islands,USA
804,CHARLOTTE AMALIE,Virgin Islands,USA
804,ST THOMAS,Virgin Islands,USA
805,ST THOMAS,Virgin Islands,USA
820,CHRISTIANSTED,Virgin Islands,USA
820,ST CROIX,Virgin Islands,USA
821,CHRISTIANSTED,Virgin Islands,USA
822,CHRISTIANSTED,Virgin Islands,USA
823,CHRISTIANSTED,Virgin Islands,USA
823,ST CROIX,Virgin Islands,USA
824,ST CROIX,Virgin Islands,USA
824,CHRISTIANSTED,Virgin Islands,USA
830,ST JOHN,Virgin Islands,USA
830,CRUZ BAY,Virgin Islands,USA
831,ST JOHN,Virgin Islands,USA
831,CRUZ BAY,Virgin Islands,USA
840,FREDERIKSTED,Virgin Islands,USA
841,FREDERIKSTED,Virgin Islands,USA
850,KINGSHILL,Virgin Islands,USA
851,KINGSHILL,Virgin Islands,USA
901,OLD SAN JUAN,Puerto Rico,USA
901,VIEJO SAN JUAN,Puerto Rico,USA
901,SAN JUAN,Puerto Rico,USA
901,VIEJO SN JUAN,Puerto Rico,USA
902,SAN JUAN,Puerto Rico,USA
902,OLD SAN JUAN,Puerto Rico,USA
902,VIEJO SAN JUAN,Puerto Rico,USA
902,VIEJO SN JUAN,Puerto Rico,USA
906,PUERTA DE TIERRA,Puerto Rico,USA
906,SAN JUAN,Puerto Rico,USA
906,PTA DE TIERRA,Puerto Rico,USA
907,MIRAMAR,Puerto Rico,USA
907,CONDADO,Puerto Rico,USA
907,SANTURCE,Puerto Rico,USA
907,SAN JUAN,Puerto Rico,USA
908,SAN JUAN,Puerto Rico,USA
909,SAN JUAN,Puerto Rico,USA
909,MINILLAS,Puerto Rico,USA
909,FDEZ JUNCOS,Puerto Rico,USA
909,FERNANDEZ JUNCOS,Puerto Rico,USA
909,SANTURCE,Puerto Rico,USA
910,FDEZ JUNCOS,Puerto Rico,USA
910,SAN JUAN,Puerto Rico,USA
910,FERNANDEZ JUNCOS,Puerto Rico,USA
911,SAN JUAN,Puerto Rico,USA
911,SANTURCE,Puerto Rico,USA
912,SAN JUAN,Puerto Rico,USA
912,SANTURCE,Puerto Rico,USA
913,SANTURCE,Puerto Rico,USA
913,ISLA VERDE,Puerto Rico,USA
913,SAN JUAN,Puerto Rico,USA
914,SANTURCE,Puerto Rico,USA
914,SAN JUAN,Puerto Rico,USA
915,BO OBRERO,Puerto Rico,USA
915,SAN JUAN,Puerto Rico,USA
915,BARRIO OBRERO,Puerto Rico,USA
915,SANTURCE,Puerto Rico,USA
916,BARRIO OBRERO,Puerto Rico,USA
916,SAN JUAN,Puerto Rico,USA
916,SANTURCE,Puerto Rico,USA
917,SAN JUAN,Puerto Rico,USA
917,HATO REY,Puerto Rico,USA
918,SAN JUAN,Puerto Rico,USA
919,SAN JUAN,Puerto Rico,USA
919,HATO REY,Puerto Rico,USA
920,CAPARRA TERRACE,Puerto Rico,USA
920,PUERTO NUEVO,Puerto Rico,USA
920,CAPARRA TER,Puerto Rico,USA
920,CAPARRA,Puerto Rico,USA
920,PTO NUEVO,Puerto Rico,USA
920,CAPARRA HILLS,Puerto Rico,USA
920,SAN JUAN,Puerto Rico,USA
921,PTO NUEVO,Puerto Rico,USA
921,PUERTO NUEVO,Puerto Rico,USA
921,RIO PIEDRAS,Puerto Rico,USA
921,COLLEGE PARK,Puerto Rico,USA
921,SAN JUAN,Puerto Rico,USA
922,CAPARRA,Puerto Rico,USA
922,CAPARRA TER,Puerto Rico,USA
922,SAN JUAN,Puerto Rico,USA
922,CAPARRA TERRACE,Puerto Rico,USA
922,CAPARRA HILLS,Puerto Rico,USA
923,SAN JUAN,Puerto Rico,USA
924,RIO PIEDRAS,Puerto Rico,USA
924,SAN JUAN,Puerto Rico,USA
925,RIO PIEDRAS,Puerto Rico,USA
925,SAN JUAN,Puerto Rico,USA
926,SAN JUAN,Puerto Rico,USA
926,CUPEY,Puerto Rico,USA
926,RIO PIEDRAS,Puerto Rico,USA
927,RIO PIEDRAS,Puerto Rico,USA
927,SAN JUAN,Puerto Rico,USA
928,RIO PIEDRAS,Puerto Rico,USA
928,SAN JUAN,Puerto Rico,USA
929,SAN JUAN,Puerto Rico,USA
929,RIO PIEDRAS,Puerto Rico,USA
930,RIO PIEDRAS,Puerto Rico,USA
930,SAN JUAN,Puerto Rico,USA
930,SAN JOSE,Puerto Rico,USA
931,SAN JUAN,Puerto Rico,USA
931,RIO PIEDRAS,Puerto Rico,USA
